country,c_code,series,s_code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brunei Darussalam,BRN,CO2 emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,CC.CO2.EMSE.LU,1.25,1.27,1.25,0.34,0.34,0.34,0.4,0.37,0.38,0.32,0.33
Brunei Darussalam,BRN,Annual CO2 combustion emissions at operating coal mines (Mt CO2),CC.COAL.EMIS.CO, , , , , , , , , , , 
Brunei Darussalam,BRN,CO2 emissions by sector (Mt CO2 eq) - Energy,CC.CO2.EMSE.EN,7.22,7.43,6.86,7.01,7.13,7.02,6.97,5.98,6.41,6.71,7.14
Brunei Darussalam,BRN,CO2 emissions by sector (Mt CO2 eq) - Industrial Processes,CC.CO2.EMSE.IP,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,BRN,CO2 emissions by sector (Mt CO2 eq) - Manufacturing/Construction,CC.CO2.EMSE.MC,1.93,0.97,0.43,0.47,0.54,0.42,0.34,0.42,0.32,0.42,0.37
Brunei Darussalam,BRN,CO2 emissions by sector (Mt CO2 eq) - Transportation,CC.CO2.EMSE.TR,1.13,1.12,1.18,1.28,1.34,1.33,1.35,1.36,1.34,1.33,1.35
Brunei Darussalam,BRN,Emission Totals - Emissions (CO2) - Emissions on agricultural land,CC.ECO.EAL,1424.2166,1418.0061,1392.8271,504.0016,504.6583,498.2935,560.4058,528.352,406.3089,362.3508,372.0102
Brunei Darussalam,BRN,Emission Totals - Emissions (CO2eq) (AR5) - Forest fires,CC.EAR.FFR,0,0.6496,0,0,0,0,1.7323,0.3248,0.6496,0,0
Myanmar,MMR,CO2 emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,CC.CO2.EMSE.LU,122.95,124.47,125.87,106.22,106.59,107.96,107.59,109.24,103.89,102.08,104.41
Myanmar,MMR,Annual CO2 combustion emissions at operating coal mines (Mt CO2),CC.COAL.EMIS.CO, , , , , , , , , , , 
Myanmar,MMR,CO2 emissions by sector (Mt CO2 eq) - Energy,CC.CO2.EMSE.EN,7.77,7.38,8.07,8.38,11.45,13.17,16.54,18.67,20.9,30.41,31.53
Myanmar,MMR,CO2 emissions by sector (Mt CO2 eq) - Industrial Processes,CC.CO2.EMSE.IP,0.26,0.26,0.2,0.2,0.35,0.43,0.5,0.34,0.99,0.99,0.99
Myanmar,MMR,CO2 emissions by sector (Mt CO2 eq) - Manufacturing/Construction,CC.CO2.EMSE.MC,1.93,2.04,2.32,2.42,3.64,3.97,4.91,5.37,3.91,8.23,8.52
Myanmar,MMR,CO2 emissions by sector (Mt CO2 eq) - Transportation,CC.CO2.EMSE.TR,2.08,2.29,2.3,2.36,3.03,3.52,3.97,4.33,4.44,5.94,6.13
Myanmar,MMR,Emission Totals - Emissions (CO2) - Emissions on agricultural land,CC.ECO.EAL,123207.582,124663.9423,126475.8656,105703.0528,105891.7214,107877.8411,107525.3534,109173.8491,103844.9701,101616.0789,106962.7193
Myanmar,MMR,Emission Totals - Emissions (CO2eq) (AR5) - Forest fires,CC.EAR.FFR,6882.217,13983.4589,15032.6805,7014.6778,11293.6865,8856.8635,11389.3558,12157.1025,6876.8136,7710.2639,6310.3657
Vietnam,VNM,CO2 emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,CC.CO2.EMSE.LU,18,18.01,18.24,-22.64,-22.67,-20.91,-22.12,-22.67,-12.17,-12.48,-12.5
Vietnam,VNM,Annual CO2 combustion emissions at operating coal mines (Mt CO2),CC.COAL.EMIS.CO, , , , , , , , , , , 
Vietnam,VNM,CO2 emissions by sector (Mt CO2 eq) - Energy,CC.CO2.EMSE.EN,102.34,113.09,128.14,126.98,126.34,131.64,145.47,183.67,194.61,192.29,227.57
Vietnam,VNM,CO2 emissions by sector (Mt CO2 eq) - Industrial Processes,CC.CO2.EMSE.IP,15.28,18.63,21.3,22.04,20.94,21.99,23.09,25.53,29.26,29.84,30.29
Vietnam,VNM,CO2 emissions by sector (Mt CO2 eq) - Manufacturing/Construction,CC.CO2.EMSE.MC,35.35,38.95,41.57,42.95,42.31,44.54,49.55,63.3,63.01,64.33,63.91
Vietnam,VNM,CO2 emissions by sector (Mt CO2 eq) - Transportation,CC.CO2.EMSE.TR,24.1,28.93,31.07,30.51,30.06,29.3,29.96,33.05,36.49,38.19,36.32
Vietnam,VNM,Emission Totals - Emissions (CO2) - Emissions on agricultural land,CC.ECO.EAL,6830.282,6860.4323,7061.8823,10295.0546,10159.2156,11840.1665,10624.3297,10114.6784,6789.5998,6319.4366,6279.2435
Vietnam,VNM,Emission Totals - Emissions (CO2eq) (AR5) - Forest fires,CC.EAR.FFR,482.3308,668.8534,996.0508,572.6313,754.3361,376.5348,730.8214,658.6291,745.5729,388.5214,405.4213
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
